Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,137,508,278,27
DFS,mapA,YES,50,56,124,271,2
IDS,mapA,NO),-,500001,2999958,8,1234
A* Basica,mapA,YES,5,57,187,172,11
A* Avancada,mapA,YES,5,97,354,230,3
BFS,mapB,YES,31,183,276,186,1
DFS,mapB,YES,35,121,172,128,2
IDS,mapB,NO),-,500001,1499988,5,804
A* Basica,mapB,YES,31,153,227,165,2
A* Avancada,mapB,YES,31,178,267,186,2
BFS,mapC,YES,37,13113,51940,14161,81
DFS,mapC,YES,49,19298,65803,4981,82
IDS,mapC,NO),-,500001,2999958,8,1274
A* Basica,mapC,YES,37,11171,43851,12949,194
A* Avancada,mapC,YES,37,12876,50953,14092,48
BFS,mapD,YES,79,113818,702218,116250,1534
DFS,mapD,NO),-,743619,4336825,82444,5947
IDS,mapD,NO),-,500001,2999958,8,2208
A* Basica,mapD,YES,79,105382,651011,108005,7286
A* Avancada,mapD,YES,79,112215,692218,114999,1718
